Year,Country,Topic,Authors,No_Authors,Category_of_Authors,Title,Papers_Published,Institutions,Curated_Institution,Institution,Historically_Adv_Disav,Journal,African_Journal,Impact,Means_Citations,Model,Genetic,Research_Types,Adv_Methods,Medicinal_Plants_Usage,P_Name,P_Use,P_Success,N_affiliations,InternationalCollab,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32
2007,44,6,T. D. Noakes,1,Single,The limits of human endurance: what is the greatest endurance performance of all time? Which factors regulate performance at extreme altitude?,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,Clin J Sport Med,African Journals,1.76,104,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,3,"K. M. Scott, F. Parker and J. M. Heckmann",3,Multiple,Opsoclonus-myoclonus syndrome and HIV-infection,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,Eur J Paediatr Neurol,African Journals,2.44,12,Rat,0,Basic,Advanced,Yes,Searsia species,Epilepsy,Effective,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,3,"A. A. Figaji, A. G. Fieggen, A. Argent and J. C. Peter",4,Multiple,"Surgical treatment for ""brain compartment syndrome"" in children with severe head injury",1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,Int J Impot Res,Non-African Journals,0.955,47,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,9,"C. Cook, N. Cockburn, J. van der Merwe and R. Ehrlich",4,Multiple,Cataract and glaucoma case detection for Vision 2020 programs in Africa: an evaluation of 6 possible screening tests,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,J Glaucoma,African Journals,1.742,14,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,3,"A. A. Figaji, E. Zwane, A. G. Fieggen, P. Siesjo and J. C. Peter",5,Multiple,Transcranial Doppler pulsatility index is not a reliable indicator of intracranial pressure in children with severe traumatic brain injury,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,Neurosurgery,African Journals,1.699,16,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,6,"J. H. van Heerden, A. Conesa, D. J. Stein, D. Montaner, V. Russell and N. Illing",6,Multiple,Parallel changes in gene expression in peripheral blood mononuclear cells and the brain after maternal separation in the mouse,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,PLoS One,African Journals,1.361,6,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,9,"V. Ramanjam, C. Adnams, A. Ndondo, G. Fieggen, K. Fieggen and J. Wilmshurst",6,Multiple,Clinical phenotype of South African children with neurofibromatosis 1,1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,J Child Neurol,African Journals,1.665,8,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,3,"A. A. Figaji, E. Zwane, A. G. Fieggen, A. C. Argent, P. D. Le Roux, P. Siesjo and J. C. Peter",7,Multiple,"Pressure autoregulation, intracranial pressure, and brain tissue oxygenation in children with severe traumatic brain injury",1,"University of Cape Town, South Africa.",University of the Wetwatersrand,UWW,Advantage,Ann Trop Paediatr,African Journals,2.232,7,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,3,"E. H. Decloedt, C. Freeman, F. Howells, M. Casson-Crook, M. Lesosky, E. Koutsilieri, S. Lovestone, G. Maartens and J. A. Joska",9,Multiple,Moderate to severe HIV-associated neurocognitive impairment: A randomized placebo-controlled trial of lithium,1,"University of Cape Town, Stellenbosch University",University of the Wetwatersrand,UWW,Advantage,Medicine (Baltimore),African Journals,2.133,10,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,44,7,"N. L. Cuzen, S. M. Koopowitz, H. L. Ferrett, D. J. Stein and D. Yurgelun-Todd",5,Multiple,Methamphetamine and cannabis abuse in adolescence: a quasi-experimental study on specific and long-term neurocognitive effects,1,"University of Cape Town, University of Stellenbosch",University of the Wetwatersrand,UWW,Advantage,BMJ Open,African Journals,2.413,42,Rat,0,Basic,Advanced,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,7,"Lipinska, G. and Thomas, K. G. F.",2,Multiple,Better Sleep in a Strange Bed? Sleep Quality in South African Women with Posttraumatic Stress Disorder,1,University of Capetown,University of the Wetwatersrand,UWW,Advantage,Front Psychol,African Journals,2.103,25,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,7,"Dowdall, N., Ward, C. L. and Lund, C.",3,Multiple,The association between neighbourhood-level deprivation and depression: evidence from the south african national income dynamics study,1,University of Capetown,University of the Wetwatersrand,UWW,Advantage,Eur J Neurosci,African Journals,2.419,97,Rat,0,Basic,Advanced,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,6,"L. I. Somova, M. L. Channa and M. S. Khan",3,Multiple,An experimental rat model of salt-sensitive hypertension; biochemical and morphological parameters and sympathetic nervous system,1,University of Durban Westville,University of the Wetwatersrand,UWW,Advantage,J S Afr Vet Assoc,Non-African Journals,0.93,134,Rat,0,Basic,Standard,No,,,,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,44,6,"L. Somova, L. Mackraj and S. Chetty",3,Multiple,Sympathetic and platelet adrenergic activity and salt sensitivity: an experimental study,1,"University of Durban-Westville,",University of the Wetwatersrand,UWW,Advantage,J Vasc Surg,African Journals,0.971,101,Rat,0,Basic,Standard,No,,,,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,2,"N. Pather, B. Singh, P. Partab, L. Ramsaroop and K. S. Satyapal",5,Multiple,The anatomical rationale for an upper limb sympathetic blockade: preliminary report,1,"University of Durban-Westville, University of Witwatersrand",University of the Wetwatersrand,UWW,Advantage,Prog Neuropsychopharmacol Biol Psychiatry,African Journals,1.003,69,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,8,"Mogambery, J. C., Dawood, H., Wilson, D. and Moodley, A.",4,Multiple,HIV-associated neurocognitive disorder in a KwaZulu-Natal HIV clinic: A prospective study,1,University of Kwazulu-Natal,University of the Wetwatersrand,UWW,Advantage,South Afr J HIV Med,Non-African Journals,1,17,Rat,0,Basic,Standard,No,,,,3,44,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,3,"R. Glanvill, J. M. Boon, F. Birkholtz, J. H. Meiring, A. N. van Schoor and L. Greyling",6,Multiple,Superficial radial nerve injury during standard K-wire fixation of uncomplicated distal radial fractures,1,University of KwaZulu-Natal,University of the Wetwatersrand,UWW,Advantage,CNS Spectr,African Journals,1.463,2,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,3,"T. Mpofana, W. M. Daniels and M. V. Mabandla",3,Multiple,Exposure to Early Life Stress Results in Epigenetic Changes in Neurotrophic Factor Gene Expression in a Parkinsonian Rat Model,1,University of KwaZulu-Natal ,University of the Wetwatersrand,UWW,Advantage,Parkinsons Dis,African Journals,2.117,26,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,3,"K. D. Muballe, T. Hardcastle and E. Kiratu",3,Multiple,"Neurological findings in pediatric penetrating head injury at a university teaching hospital in Durban, South Africa: a 23-year retrospective study",1,University of KwaZulu-Natal ,University of the Wetwatersrand,UWW,Advantage,J Neurosurg Pediatr,African Journals,2.232,2,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Bhigjee, A. I., Moodley, A. A., Roos, I., Wells, C. L., Ramdial, P. and Esser, M.",6,Multiple,"The neuromyelitis optica presentation and the aquaporin-4 antibody in HIV-seropositive and seronegative patients in KwaZulu-Natal, South Africa",1,"University of KwaZulu-Natal, Greys Hospital,  Luthuli Central Hospital, NHLS Tygerberg (SA)",University of the Wetwatersrand,UWW,Advantage,AIDS Care,Non-African Journals,1,4,Rat,0,Basic,Standard,No,,,,3,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,"N. Nathoo, S. S. Nadvi, P. K. Narotam and J. R. van Dellen",4,Multiple,Brain abscess: management and outcome analysis of a computed tomography era experience with 973 patients,1,"University of KwaZulu-Natal, South Africa",University of the Wetwatersrand,UWW,Advantage,World Neurosurg,African Journals,1.924,36,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,9,"K. Moodley, J. Botha, D. M. Raidoo and S. Naidoo",4,Multiple,Immuno-localisation of anti-thyroid antibodies in adult human cerebral cortex,1,"University of KwaZulu-Natal, South Africa",University of the Wetwatersrand,UWW,Advantage,J Neurol Sci,African Journals,2.44,5,Rat,0,Basic,Standard,Yes,Herbal tea,Stroke,Effective,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,3,"L. Ramsaroop, B. Singh, L. Allopi, J. Moodley, P. Partab and K. S. Satyapal",6,Multiple,The surgical anatomy of the parotid fascia,1,"University of KwaZulu-Natal, South Africa",University of the Wetwatersrand,UWW,Advantage,Brain Res,African Journals,1.003,68,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,3,"T. V. Mulaudzi, B. M. Biccard, J. V. Robbs, N. Paruk, B. Pillay and P. Rajaruthnam",6,Multiple,Carotid artery stump pressure and associated neurological changes in predominantly symptomatic carotid artery disease patients undergoing awake carotid endarterectomy,1,"University of KwaZulu-Natal, South Africa",University of the Wetwatersrand,UWW,Advantage,Cardiovasc J Afr,Non-African Journals,1.179,87,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,9,"L. Selman, I. J. Higginson, G. Agupio, N. Dinat, J. Downing, L. Gwyther, T. Mashao, K. Mmoledi, A. P. Moll, L. M. Sebuyira, B. Panajatovic and R. Harding",12,Multiple,Meeting information needs of patients with incurable progressive disease and their families in South Africa and Uganda: multicentre qualitative study,1,"University of KwaZulu-Natal, South Africa",University of the Wetwatersrand,UWW,Advantage,Bmj,African Journals,2.413,32,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,7,J. K. Burns,1,Single,Reconciling 'the new epidemiology' with an evolutionary genetic basis for schizophrenia,1,"University of KwaZulu-Natal, South Africa.",University of the Wetwatersrand,UWW,Advantage,Magn Reson Med,African Journals,1.12,17,Rat,0,Basic,Standard,No,,,,2,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,1,R. D. Griesel and L. M. Richter,2,Multiple,"Undernutrition, brain growth and intellectual development",1,"University of KwaZulu-Natal, South Africa.",University of the Wetwatersrand,UWW,Advantage,S Afr Med J,Non-African Journals,0.955,24,Rat,0,Basic,Standard,No,,,,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,1,B. Singh and L. Ramsaroop,2,Multiple,Upper limb sympathectomy: a historical reappraisal of the surgical anatomy,1,"University of KwaZulu-Natal, South Africa.",University of the Wetwatersrand,UWW,Advantage,Clin Anat,African Journals,1.908,6,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,"L. Feller, N. H. Wood, R. A. Khammissa, U. M. Chikte, R. Essop, R. Meyerov and J. Lemmer",7,Multiple,Oral cancer-associated paraneoplastic syndromes,1,"University of Limpopo, University of StellenboschTygerbergSouth Africa, University of the Witwatersrand, South Africa.",University of the Wetwatersrand,UWW,Advantage,Physiol Behav,African Journals,0.167,18,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,44,3,"G. Alessi, S. Aiyer and N. Nathoo",3,Multiple,Home-made gun injury: spontaneous version and anterior migration of bullet,1,University of Natal,University of the Wetwatersrand,UWW,Advantage,Br J Neurosurg,African Journals,1.238,14,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,9,"V. Naidoo, S. Naidoo, R. Mahabeer and D. M. Raidoo",4,Multiple,Cellular distribution of the endothelin system in the human brain,1,University of Natal,University of the Wetwatersrand,UWW,Advantage,J Chem Neuroanat,African Journals,2.162,20,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,3,"D. M. Raidoo, S. Sawant, R. Mahabeer and K. D. Bhoola",4,Multiple,Kinin receptors are expressed in human astrocytic tumour cells,1,University of Natal,University of the Wetwatersrand,UWW,Advantage,Immunopharmacology,African Journals,1.203,77,Rat,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,3,"R. Bobat, H. Coovadia, D. Moodley and A. Coutsoudis",4,Multiple,"Mortality in a cohort of children born to HIV-1 infected women from Durban, South Africa",1,University of Natal.,University of the Wetwatersrand,UWW,Advantage,S Afr Med J,Non-African Journals,0.955,94,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,44,5,A. Nel and B. H. Harvey,2,Multiple,Haloperidol-induced dyskinesia is associated with striatal NO synthase suppression: reversal with olanzapine,1,University of Potchefstroom,University of the Wetwatersrand,UWW,Advantage,Behav Pharmacol,African Journals,1.854,26,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,44,3,"B. H. Harvey, C. L. Meyer, V. S. Gallichio and H. K. Manji",4,Multiple,Lithium salts in AIDS and AIDS-related dementia,1,University of Potchefstroom School of Pharmacy,University of the Wetwatersrand,UWW,Advantage,Psychopharmacol Bull,African Journals,0.4,14,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,9,T. Hanekom,1,Single,Modelling encapsulation tissue around cochlear implant electrodes,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Med Biol Eng Comput,African Journals,1.971,52,Rat,0,Basic,Advanced,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,3,"T. Vaughan-Scott, J. Goldin and J. W. Nesbit",3,Multiple,Spinal nephroblastoma in an Irish wolfhound,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Clin Genet,Non-African Journals,0.93,21,Rat,0,Basic,Standard,No,,,,2,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,3,"C. J. Jacobs, W. H. Steyn and J. M. Boon",3,Multiple,Segmental nerve damage during a McBurney's incision: a cadaveric study,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,S Afr Med J,African Journals,1.003,32,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,4,"Badenhorst, W., Hanekom, T. and Hanekom, J. J.",3,Multiple,Analysis of a purely conductance-based stochastic nerve fibre model as applied to compound models of populations of human auditory nerve fibres used in cochlear implant simulations,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Biol Cybern,African Journals,1.44,5,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,1,"Acar, A. A., Bosenberg, A. T. and van Schoor, A. N.",3,Multiple,Anatomical description of the sciatic nerve block at the subgluteal region in a neonatal cadaver population,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Paediatr Anaesth,African Journals,1.85,32,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,44,2,"N. E. Nyakale, R. P. Clauss, H. W. Nel and M. M. Sathekge",4,Multiple,Blood-brain barrier integrity in a zolpidem-responder patient,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,S Afr Med J,Non-African Journals,0.955,40,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,6,"Stephen, I. D., Hiew, V., Coetzee, V., Tiddeman, B. P. and Perrett, D. I.",5,Multiple,"Facial Shape Analysis Identifies Valid Cues to Aspects of Physiological Health in Caucasian, Asian, and African Populations",1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Front Psychol,African Journals,2.103,34,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Ololade, K., Mokgoro, N. P., Lawal, I. O., Vorster, M., Boshomane, T. G. and Sathekge, M. M.",6,Multiple,A comparison of (18)F-FDG PET/CT findings in HIV positive compared to HIV negative patients with recurrent cervical cancer,1,University of Pretoria,University of the Wetwatersrand,UWW,Advantage,Hell J Nucl Med,African Journals,0.971,155,Rat,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,44,3,"J. H. Williams, J. D. Mentoor, E. Van Wilpe and M. Venter",4,Multiple,Comparative pathology of neurovirulent lineage 1 (NY99/385) and lineage 2 (SPU93/01) West Nile virus infections in BALBc mice,1,University of Pretoria ,University of the Wetwatersrand,UWW,Advantage,Vet Pathol,African Journals,1.869,33,Rat,0,Basic,Advanced,No,,,,2,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,44,3,"E. A. Adewusi, G. Fouche and V. Steenkamp",3,Multiple,Effect of four medicinal plants on amyloid-beta induced neurotoxicity in SH-SY5Y cells,1,"University of Pretoria, Council for Scientific and Industrial Research",University of the Wetwatersrand,UWW,Advantage,Afr J Tradit Complement Altern Med,Non-African Journals,0.403,12,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"van der Walt, S., van Wijk, F. J., Abdool, Z. and Oettle, A. C.",4,Multiple,The dorsal nerve of the clitoris in relation to urinary incontinence sling procedures,1,"University of Pretoria, Sefako Makgatho Health Sciences University, Pretoria Urology Hospital",University of the Wetwatersrand,UWW,Advantage,J Neural Transm (Vienna),African Journals,2.078,139,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,44,3,"K. Kruger, M. N. Saulez, J. A. Neser and K. Solberg",4,Multiple,Acute lead intoxication in a pregnant mare,1,"University of Pretoria, South Africa",University of the Wetwatersrand,UWW,Advantage,J S Afr Vet Assoc,Non-African Journals,0.93,18,Rat,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,"J. J. van der Lugt, S. S. Bastianello, A. M. van Ederen and E. van Wilpe",4,Multiple,Cerebellar cortical degeneration in cattle caused by Solanum kwebense,1,"University of Pretoria, South Africa",University of the Wetwatersrand,UWW,Advantage,Vet J,African Journals,1.773,13,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,9,"D. Schabort, J. M. Boon, P. J. Becker and J. H. Meiring",4,Multiple,Easily identifiable bony landmarks as an aid in targeted regional ankle blockade,1,"University of Pretoria, South Africa",University of the Wetwatersrand,UWW,Advantage,Clin Anat,African Journals,1.908,21,Rat,0,Basic,Advanced,No,,,,3,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,I. Chamisa,1,Single,Frey's syndrome--unusually long delayed clinical onset post-parotidectomy: a case report,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Pan Afr Med J,Non-African Journals,0.313,1,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,E. Pretorius,1,Single,The use of a desktop scanning electron microscope as a diagnostic tool in studying fibrin networks of thrombo-embolic ischemic stroke,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Can J Physiol Pharmacol,African Journals,0.657,81,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,6,J. P. Stubgen,1,Single,Rigid spine syndrome: vacuolar variant multimodal evoked potentials,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Int J Oral Maxillofac Surg,African Journals,0.728,72,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,3,A. Carstens and A. M. Kitshoff,2,Multiple,Imaging diagnosis--postmyelographic epidural leakage due to increased meningeal permeability,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Vet Radiol Ultrasound,African Journals,1.519,1,Rat,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,1,E. Smit and E. Pretorius,2,Multiple,Combining the gold chloride and toluidine blue stains to investigate chick embryo neural tissue,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,J Microsc,African Journals,1.639,171,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,2,"J. E. Smit, T. Hanekom and J. J. Hanekom",3,Multiple,Modelled temperature-dependent excitability behaviour of a single ranvier node for a human peripheral sensory nerve fibre,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Biol Cybern,African Journals,1.44,3,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,4,"W. Swanepoel de, S. Werner, R. Hugo, B. Louw, R. Owen and A. Swanepoel",6,Multiple,High frequency immittance for neonates: a normative study,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Acta Otolaryngol,African Journals,1.076,20,Rat,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,9,"L. M. Greyling, R. Glanvill, J. M. Boon, D. Schabort, J. H. Meiring, J. P. Pretorius and A. van Schoor",7,Multiple,Bony landmarks as an aid for intraoperative facial nerve identification,1,"University of Pretoria, South Africa.",University of the Wetwatersrand,UWW,Advantage,Clin Anat,African Journals,1.908,16,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,44,7,"W. Friedrich, S. Du and K. Balt",3,Multiple,Studying frequency processing of the brain to enhance long-term memory and develop a human brain protocol,1,"University of South Africa, Tshwane University of Technology, Neurofeedback, Lynnwood, Pretoria",University of the Wetwatersrand,UWW,Advantage,S Afr Med J,African Journals,0.387,108,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,44,3,"G. S. Rutherfoord, M. A. Dada and J. P. Nel",3,Multiple,Cerebral infarction and intracranial arterial dissection in closed head injury,1,University of Stellenbosch,University of the Wetwatersrand,UWW,Advantage,Am J Forensic Med Pathol,African Journals,0.624,35,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,6,"W. M. Daniels, L. Richter and D. J. Stein",3,Multiple,The effects of repeated intra-amygdala CRF injections on rat behavior and HPA axis function after stress,1,University of Stellenbosch,University of the Wetwatersrand,UWW,Advantage,Pediatr Radiol,African Journals,2.441,7,Rat,0,Basic,Standard,NA,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,44,3,"D. J. Stein, L. Le Roux, C. Bouwer and B. Van Heerden",4,Multiple,Is olfactory reference syndrome an obsessive-compulsive spectrum disorder?: two cases and a discussion,1,University of Stellenbosch,University of the Wetwatersrand,UWW,Advantage,J Neuropsychiatry Clin Neurosci,African Journals,2.217,8,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,44,3,"G. Spies, C. Fennema-Notestine, S. L. Archibald, M. Cherner and S. Seedat",5,Multiple,Neurocognitive deficits in HIV-infected women and victims of childhood trauma,1,University of Stellenbosch,University of the Wetwatersrand,UWW,Advantage,Metab Brain Dis,African Journals,2.095,54,Rat,0,Basic,Advanced,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,44,3,"R. Emsley, R. Smith, M. Roberts, S. Kapnias, H. Pieters and S. Maritz",6,Multiple,Magnetic resonance imaging in alcoholic Korsakoff's syndrome: evidence for an association with alcoholic dementia,1,University of Stellenbosch,University of the Wetwatersrand,UWW,Advantage,Alcohol Alcohol,African Journals,2.167,24,Rat,0,Basic,Advanced,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,2,J. T. Butler,1,Single,The role of epilepsy surgery in southern Africa,1,University of Stellenbosch and Tygerberg Hospital,University of the Wetwatersrand,UWW,Advantage,Med Sci Monit,African Journals,0,13,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,44,1,"P. V. Hoogland, W. Vorster, R. J. Groen and S. H. Kotze",4,Multiple,Possible thermoregulatory functions of the internal vertebral venous plexus in man and various other mammals: evidence from comparative anatomical studies,1,"University of Stellenbosch,",University of the Wetwatersrand,UWW,Advantage,J Neurovirol,African Journals,1.908,90,Rat,0,Basic,Advanced,No,,,,2,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,44,3,"W. M. Daniels, C. Y. Pietersen, M. E. Carstens, S. Daya and D. Stein",5,Multiple,Overcrowding induces anxiety and causes loss of serotonin 5HT-1a receptors in rats,1,"University of Stellenbosch, Parow, South Africa",University of the Wetwatersrand,UWW,Advantage,S Afr Med J,African Journals,2.441,23,Other,0,Basic,Advanced,NA,,,,5,44,13,102,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,"V. Zatjirua, J. Butler, J. Carr and F. Henning",4,Multiple,Neuromyelitis optica and pulmonary tuberculosis: a case-control study,1,University of StellenboschTygerbergSouth Africa,University of the Wetwatersrand,UWW,Advantage,J Sports Med Phys Fitness,African Journals,2.306,8,Rat,0,Basic,Advanced,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,3,"A. R. Horn, D. L. Woods, C. Thompson, I. Eis and M. Kroon",5,Multiple,Selective cerebral hypothermia for post-hypoxic neuroprotection in neonates using a solid ice cap,1,University of StellenboschTygerbergSouth Africa,University of the Wetwatersrand,UWW,Advantage,Am J Physiol,Non-African Journals,0.955,19,Rat,0,Basic,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
